Description:,"Celsius-based cooling degree days with a base temperature of 24 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Milano / Linate, Italy (9.26E,45.46N)"
Station ID:,LIML

Month starting,CDD 24,% Estimated
2022-09-01,19.8,0
2022-10-01,0.1,0
2022-11-01,0,0
2022-12-01,0,0
2023-01-01,0,0
2023-02-01,0,0
2023-03-01,0,0
2023-04-01,0,0
2023-05-01,7.8,0
2023-06-01,47.4,0
2023-07-01,80,0
2023-08-01,90.8,0
2023-09-01,24.1,0
2023-10-01,7.1,0.03
2023-11-01,0,0
2023-12-01,0,0
2024-01-01,0,0
2024-02-01,0,0
2024-03-01,0,0
2024-04-01,1.9,0
2024-05-01,1.5,0
2024-06-01,29.3,0
2024-07-01,109,0
2024-08-01,105.3,0
2024-09-01,13.6,0
2024-10-01,0,0
2024-11-01,0,0
2024-12-01,0,0
2025-01-01,0,0
2025-02-01,0,0
2025-03-01,0,0
2025-04-01,0.7,0
2025-05-01,7.9,0
2025-06-01,92,0
2025-07-01,70.6,0
2025-08-01,71.4,0
