local time (Europe/Rome),utc time,IT012E00314418
2024-01-11 00:00,2024-01-11 00:00,1592798.0
2024-01-12 00:00,2024-01-12 00:00,1700689.0
2024-01-13 00:00,2024-01-13 00:00,1628980.0
2024-01-14 00:00,2024-01-14 00:00,703630.0
2024-01-15 00:00,2024-01-15 00:00,2141165.0
2024-01-16 00:00,2024-01-16 00:00,1989658.0
2024-01-17 00:00,2024-01-17 00:00,1791919.0
2024-01-18 00:00,2024-01-18 00:00,1895100.0
2024-01-19 00:00,2024-01-19 00:00,1434727.0
2024-01-20 00:00,2024-01-20 00:00,1114530.0
2024-01-21 00:00,2024-01-21 00:00,709790.0
2024-01-22 00:00,2024-01-22 00:00,2059850.0
2024-01-23 00:00,2024-01-23 00:00,1656698.0
2024-01-24 00:00,2024-01-24 00:00,1470847.0
2024-01-25 00:00,2024-01-25 00:00,1427780.0
2024-01-26 00:00,2024-01-26 00:00,1631829.0
2024-01-27 00:00,2024-01-27 00:00,1038948.0
2024-01-28 00:00,2024-01-28 00:00,499500.0
2024-01-29 00:00,2024-01-29 00:00,2099418.0
2024-01-30 00:00,2024-01-30 00:00,2083859.0
2024-01-31 00:00,2024-01-31 00:00,1635709.0
2024-02-01 00:00,2024-02-01 00:00,1524155.0
2024-02-02 00:00,2024-02-02 00:00,1259298.0
2024-02-03 00:00,2024-02-03 00:00,933748.0
2024-02-04 00:00,2024-02-04 00:00,652710.0
2024-02-05 00:00,2024-02-05 00:00,965398.0
2024-02-06 00:00,2024-02-06 00:00,890518.0
2024-02-07 00:00,2024-02-07 00:00,830219.0
2024-02-08 00:00,2024-02-08 00:00,837320.0
2024-02-09 00:00,2024-02-09 00:00,844039.0
2024-02-10 00:00,2024-02-10 00:00,766278.0
2024-02-11 00:00,2024-02-11 00:00,457300.0
2024-02-12 00:00,2024-02-12 00:00,949608.0
2024-02-13 00:00,2024-02-13 00:00,953148.0
2024-02-14 00:00,2024-02-14 00:00,903689.0
2024-02-15 00:00,2024-02-15 00:00,956770.0
2024-02-16 00:00,2024-02-16 00:00,879219.0
2024-02-17 00:00,2024-02-17 00:00,702850.0
2024-02-18 00:00,2024-02-18 00:00,520190.0
2024-02-19 00:00,2024-02-19 00:00,810010.0
2024-02-20 00:00,2024-02-20 00:00,854779.0
2024-02-21 00:00,2024-02-21 00:00,854700.0
2024-02-22 00:00,2024-02-22 00:00,848838.0
