date,IT012E00135714,CDD 22,HDD 15.5
2024-01-07,2049619.0,0.0,67.1
2024-01-14,2106643.0,0.0,83.5
2024-01-21,2190241.0,0.0,86.1
2024-01-28,2084166.0,0.0,82.7
2024-02-04,2095596.0,0.0,75.5
2024-02-11,1975592.0,0.0,39.7
2024-02-18,1974266.0,0.0,47.4
2024-02-25,1947395.0,0.0,42.8
2024-03-03,1961641.0,0.0,38.7
2024-03-10,1997339.0,0.0,43.5
2024-03-17,1725643.0,0.0,25.9
2024-03-24,1696220.0,0.0,17.099999999999998
2024-03-31,1862870.0,0.0,33.1
2024-04-07,1700269.0,0.4,15.1
2024-04-14,1772944.0,4.5,8.9
2024-04-21,1683393.0,0.2,19.8
2024-04-28,1692468.0,0.0,36.300000000000004
2024-05-05,1518445.0,0.6,7.8999999999999995
2024-05-12,1621897.0,3.2,1.9000000000000001
2024-05-19,1638095.0,0.7000000000000001,3.4
2024-05-26,1590769.0,1.5,2.6
2024-06-02,1734420.0,3.5,0.30000000000000004
2024-06-09,1928521.0,10.0,0.1
2024-06-16,1779798.0,5.4,0.2
2024-06-23,2049420.0,18.0,0.0
2024-06-30,2029898.0,20.5,0.0
2024-07-07,2093544.0,16.6,0.0
2024-07-14,2151773.0,35.0,0.0
2024-07-21,2600670.0,42.6,0.0
2024-07-28,2854395.0,45.1,0.0
2024-08-04,2817193.0,46.5,0.0
2024-08-11,2717465.0,39.5,0.0
2024-08-18,2683120.0,34.0,0.0
2024-08-25,2478993.0,31.0,0.0
2024-09-01,2592697.0,32.5,0.0
2024-09-08,2191244.0,12.4,0.0
2024-09-15,1812596.0,5.2,3.8
2024-09-22,1645170.0,1.0,3.0
2024-09-29,1620396.0,1.4,1.6
2024-10-06,1716543.0,0.0,9.4
2024-10-13,1690647.0,0.0,7.2
2024-10-20,1668572.0,0.0,2.4
2024-10-27,1705846.0,0.0,2.0
2024-11-03,1688345.0,0.0,19.5
2024-11-10,1844070.0,0.0,50.5
2024-11-17,1652346.0,0.0,63.9
2024-11-24,1769071.0,0.0,64.4
2024-12-01,1696949.0,0.0,60.2
2024-12-08,1746472.0,0.0,81.3
2024-12-15,2081818.0,0.0,77.8
2024-12-22,2072972.0,0.0,74.8
2024-12-29,1830122.0,0.0,81.6
2025-01-05,426548.0,0.0,25.2
